Name,IconSWF,IconExportName,LocalizedName,SortOrder,Enabled,EnabledCN,FileName,TestLanguage,UsedSystemFont,PreferedFallbackFont,ForcedFontFullName,HelpshiftSDKLanguage,HelpshiftSDKLanguageAndroid,TestExcludes,LoadAllLanguages,ChampionshipRegisterUrl,ChampionshipRegisterUrl_cn,TermsAndServiceUrl,ParentsGuideUrl,PrivacyPolicyUrl,LaserboxUrl,LaserboxUrlCN,LaserboxStagingUrl,LaserboxStagingUrlCN,LaserboxCommunityUrl,LaserboxCommunityUrlCN,LaserboxCommunityStagingUrl,LaserboxCommunityStagingUrlCN,LaserboxLangCode,FaqUrl_ios,FaqUrl_ios_cn,FaqUrl_android,FaqUrl_android_cn,ContactUsUrl_ios,ContactUsUrl_ios_cn,ContactUsUrl_android,ContactUsUrl_android_cn,LaserboxEnabled,IsRTL,isNounAdj,SeparateThousandsWithSpaces,SelfHelpUrl,SelfHelpUrlCN,FallbackToHelpshift,FallbackToHelpshiftCN,TermsAndServiceUrl_Tencent_android,ParentsGuideUrl_Tencent_android,PrivacyPolicyUrl_Tencent_android,TermsAndServiceUrl_Tencent_ios,ParentsGuideUrl_Tencent_ios,PrivacyPolicyUrl_Tencent_ios,TermsAndServiceUrl_Yoozoo,ParentsGuideUrl_Yoozoo,PrivacyPolicyUrl_Yoozoo,DeviceMigrationSelfHelpUrl
,,,,,,,,,,,,,,NL,,,,,,,http://galebrawl.rf.gd,,,,https://web.telegram.org,,,,,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,,,,,,,,,,,
,,,,,,,,,,,,,,FI,,,,,,,http://galebrawl.rf.gd,,,,https://web.telegram.org,,,,,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,,,,,,,,,,,
,,,,,,,,,,,,,,RU,,,,,,,http://galebrawl.rf.gd,,,,https://web.telegram.org,,,,,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,,,,,,,,,,,
,,,,,,,,,,,,,,PT,,,,,,,http://galebrawl.rf.gd,,,,https://web.telegram.org,,,,,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,,,,,,,,,,,
,,,,,,,,,,,,,,TH,,,,,,,http://galebrawl.rf.gd,,,,https://web.telegram.org,,,,,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,,,,,,,,,,,
WORD_ASIA,sc/ui.sc,flag_gb,Longest Word Asia,107,false,false,localization/texts.csv,TRUE,,,,en,,EN,TRUE,http://www.supr.cl/bsc,https://www.bsesports.cn/bscrule.html,http://supercell.com/en/terms-of-service/,http://www.supercell.com/en/parents/,http://www.supercell.com/en/privacy-policy/,http://galebrawl.rf.gd,,https://staging.inbox.brawlstars.com/,,https://web.telegram.org,,https://staging.inbox.brawlstars.com/community/,,,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,TRUE,,,,,,,,,,
,,,,,,,,,,,,,,DE,,,,,,,http://galebrawl.rf.gd,,,,https://web.telegram.org,,,,,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,,,,,,,,,,,
,,,,,,,,,,,,,,FR,,,,,,,http://galebrawl.rf.gd,,,,https://web.telegram.org,,,,,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,,,,,,,,,,,
,,,,,,,,,,,,,,IT,,,,,,,http://galebrawl.rf.gd,,,,https://web.telegram.org,,,,,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,,,,,,,,,,,
,,,,,,,,,,,,,,ES,,,,,,,http://galebrawl.rf.gd,,,,https://web.telegram.org,,,,,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,,,,,,,,,,,
,,,,,,,,,,,,,,AR,,,,,,,http://galebrawl.rf.gd,,,,https://web.telegram.org,,,,,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,,,,,,,,,,,
,,,,,,,,,,,,,,TR,,,,,,,http://galebrawl.rf.gd,,,,https://web.telegram.org,,,,,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,,,,,,,,,,,
,,,,,,,,,,,,,,ID,,,,,,,http://galebrawl.rf.gd,,,,https://web.telegram.org,,,,,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,,,,,,,,,,,
,,,,,,,,,,,,,,MS,,,,,,,http://galebrawl.rf.gd,,,,https://web.telegram.org,,,,,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,,,,,,,,,,,
,,,,,,,,,,,,,,VI,,,,,,,http://galebrawl.rf.gd,,,,https://web.telegram.org,,,,,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,,,,,,,,,,,
,,,,,,,,,,,,,,NL,,,,,,,http://galebrawl.rf.gd,,,,https://web.telegram.org,,,,,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,,,,,,,,,,,
,,,,,,,,,,,,,,FI,,,,,,,http://galebrawl.rf.gd,,,,https://web.telegram.org,,,,,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,,,,,,,,,,,
,,,,,,,,,,,,,,RU,,,,,,,http://galebrawl.rf.gd,,,,https://web.telegram.org,,,,,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,,,,,,,,,,,
,,,,,,,,,,,,,,PT,,,,,,,http://galebrawl.rf.gd,,,,https://web.telegram.org,,,,,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,,,,,,,,,,,
,,,,,,,,,,,,,,TH,,,,,,,http://galebrawl.rf.gd,,,,https://web.telegram.org,,,,,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,,,,,,,,,,,
PL,sc/ui.sc,flag_gb,Polski,19,true,false,localization/pl.csv,,,,,pl,,,,http://www.supr.cl/bsc,https://www.bsesports.cn/bscrule.html,http://supercell.com/en/terms-of-service/,http://www.supercell.com/en/parents/,http://www.supercell.com/en/privacy-policy/,http://galebrawl.rf.gd,,https://staging.inbox.brawlstars.com/pl/,,https://web.telegram.org,,https://staging.inbox.brawlstars.com/pl/community/,,pl,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,TRUE,,,,,,,,,,
HE,sc/ui.sc,flag_gb,עברית,20,true,false,localization/he.csv,,,,,iw,,,,http://www.supr.cl/bsc,https://www.bsesports.cn/bscrule.html,http://supercell.com/en/terms-of-service/,http://www.supercell.com/en/parents/,http://www.supercell.com/en/privacy-policy/,http://galebrawl.rf.gd,,https://staging.inbox.brawlstars.com/,,https://web.telegram.org,,https://staging.inbox.brawlstars.com/community/,,he,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,TRUE,,,https://t.me/shuvee_dev,,,TRUE,,,,,,,,,,
