TID,UA
TID_SKIN_REWARD_OK,ЗАБРАТИ
TID_HERO_REWARD_TITLE_1,ПОВІДОМЛЕННЯ СЛУЖБИ ПІДТРИМКИ
TID_HERO_REWARD_INFO_1,Служба підтримки Gale Brawl дарує тобі нового бійця.
TID_SKIN_REWARD_TITLE_0,ПОВІДОМЛЕННЯ СЛУЖБИ ПІДТРИМКИ
TID_SKIN_REWARD_INFO_0,Служба підтримки Gale Brawl дарує тобі новий скін.
TID_SKIN_REWARD_TITLE_3,ПОВІДОМЛЕННЯ СЛУЖБИ ПІДТРИМКИ
TID_SKIN_REWARD_INFO_3,Служба підтримки Gale Brawl дарує тобі новий скін.
TID_REWARD_TITLE,ПОВІДОМЛЕННЯ СЛУЖБИ ПІДТРИМКИ
TID_REWARD_INFO,Ви отримали предмети від служби підтримки Gale Brawl.
TID_REWARD_INFO_RESOURCE_FIRSTWINS,Отримано зоряних жетонів: <AMOUNT>
TID_REWARD_INFO_RESOURCE_GOLD,Отримано жетонів: <AMOUNT>
TID_REWARD_INFO_RESOURCE_LEGENDARYTROPHIES,Отримано зоряних очок: <AMOUNT>
TID_REWARD_OK,ЗАБРАТИ
TID_HERO_REWARD_OK,ЗАБРАТИ
TID_RANK_POPUP_TITLE,ШЛЯХ ДО СЛАВИ
TID_RANK_POPUP_NEXT_GOAL,НОВИЙ РУБІЖ
TID_RANK_POPUP_COLLECT,ЗАБРАТИ!
TID_RANK_POPUP_SEASON_END_REWARD,Нагорода сезону
TID_RANK_POPUP_SEASON_END_REWARD_OWN,<cffff00>ТВОЯ НАГОРОДА СЕЗОНУ</c>
TID_RANK_POPUP_TOTAL_INFO,"Збирай трофеї, щоб отримувати нагороди та переходити в нові ліги!\nТвої трофеї — це сума трофеїв усіх твоїх бійців."
TID_RANK_POPUP_SEASON_END_TITLE,ДО КІНЦЯ СЕЗОНУ
TID_RANK_POPUP_SEASON_END_INFO,"У кінці сезону бійці, що набрали <DECAYSTART> чи більше трофеїв, втрачають частину своїх трофеїв. Списані трофеї компенсуються зоряними очками, які можна витрачати в крамниці."
TID_RANK_POPUP_HILITE_CAPTION_3,БОЄЦЬ: <HERO>
TID_RANK_POPUP_HILITE_CAPTION_13,ПОДІЯ: <NAME>
TID_RANK_POPUP_HILITE_CAPTION_10,МЕГАЯЩИК
TID_RANK_POPUP_HILITE_CAPTION_SLOT_4,КОМАНДНІ ПОДІЇ
TID_RANK_POPUP_HILITE_CAPTION_SLOT_3,ПОДІЇ ДНЯ
TID_RANK_POPUP_HILITE_CAPTION_SLOT_7,ПОДІЇ ЗА КВИТКАМИ
TID_RANK_INFO_POPUP_SEASON_REWARDS_1,Нагорода кінця сезону: зоряні очки
TID_RANK_INFO_POPUP_SEASON_REWARDS_2,Нагорода за місце
TID_RANK_INFO_POPUP_SEASON_REWARDS_3,Нагорода за очки
TID_RANK_INFO_POPUP_POINTS_LABEL_1,Трофеї
TID_RANK_INFO_POPUP_TITLE,Інформація про трофеї
TID_RANK_INFO_POPUP_SEASON_REWARDS,Нагорода кінця сезону: зоряні очки
TID_RANK_INFO_POPUP_SEASON_REWARD_ENTRY,<START> - <END>
TID_RANK_INFO_POPUP_LABEL_TROPHIES,Трофеї
TID_RANK_INFO_POPUP_LABEL_STAR_POINTS,Зоряні очки\nв нагороду
TID_RANK_INFO_POPUP_LABEL_END_TROPHIES,Трофеї після закінчення сезону
TID_DAILY_COINS_COLLECTED,Отримано
TID_TEAM_BATTLE,СТВОРИТИ
TID_TEAM_UNREADY,не готово
TID_TEAM_WAITING_WHILE_READY,Усе готово!\nПотрібно дочекатися інших.
TID_GATCHA_SCREEN_NEW_HERO,<c<COLOR>><NAME>: <OWNEDCOUNT>-й із <SETSIZE> бійців</c>
TID_GATCHA_SCREEN_NEW_ITEM,<c<COLOR>><OWNEDCOUNT>/<SETSIZE> <NAME></c>
TID_GATCHA_SCREEN_BOXES_REMAINING,<AMOUNT>
TID_GATCHA_SCREEN_OK,Здорово!
TID_GATCHA_SCREEN_TAP,Тисни! Тисни!
TID_GATCHA_SCREEN_TICKET_DROP_HEADER,КВИТКИ ПОДІЙ
TID_GATCHA_SCREEN_TICKET_DROP_BONUS,БОНУС!
TID_GATCHA_SCREEN_TICKET_DROP_DESC_ONGOING,Діє <TIME>
TID_GATCHA_SCREEN_TICKET_DROP_DESC_FUTURE,Розпочинається через <TIME>
TID_GATCHA_SCREEN_TICKET_DROP_NOTE,<EMPTY>
TID_GATCHA_SCREEN_COIN_DOUBLER_HEADER,ПОДВОЮВАЧ ЖЕТОНІВ
TID_GATCHA_SCREEN_COIN_DOUBLER_VALUE,+ <AMOUNT>
TID_GATCHA_SCREEN_COIN_DOUBLER_DESC,Отримай удвічі більше жетонів у боях!
TID_GATCHA_SCREEN_GOLD_DROP_TITLE,МОНЕТИ
TID_GATCHA_SCREEN_GOLD_DROP_DESC,Використовуй монети для поліпшення бійців
TID_GATCHA_SCREEN_GEM_DROP_TITLE,КРИСТАЛИ
TID_GATCHA_SCREEN_GEM_DROP_DESC,"Купуй за кристали ящики, скіни й інші предмети у крамниці"
TID_GATCHA_SCREEN_HERO_POWER_TITLE,ОЧКИ СИЛИ
TID_GATCHA_SCREEN_HERO_POWER_LEVEL_UP_UNLOCKED,Розблоковане поліпшення!
TID_LEG_TRO_MIG_INFO_SHORT,Отримано <cff00ff>зоряних очок:</c> <AMOUNT>!
TID_GATCHA_SCREEN_HERO_POWER_LEVEL_UP_AVAILABLE,Можна поліпшити!
TID_GATCHA_SCREEN_BOX_COUNTER_BONUS,БОНУС
TID_NAVI_BLOCKED_1,Не можна перейти на іншу сторінку в режимі готовності!
LEG_TRO_MIG_INFO_SHORT,Отримано <cff00ff>зоряних очок:</c> <AMOUNT>!
TID_LEG_TRO_MIG_POPUP_OK,ОК
TID_LEG_TRO_MIG_POPUP_CLAIM,ЗАБРАТИ
TID_LEG_TRO_MIG_POPUP_TITLE,Представляємо <cff00ff>зоряні очки!</c>
TID_LEG_TRO_MIG_INFO,"Новинка в Brawl Stars: зоряні очки! Їх можна заробляти за допомогою бійців, що набрали 500 чи більше трофеїв. У кінці сезону певна частина трофеїв понад 500 перетворюється на зоряні очки.\n\nЗоряні очки можна також заробляти, підвищуючи ранг бійців. Зоряних очок за підвищення рангу бійців у минулому: <AMOUNT>."
TID_TEAM_MEMBER_INFO_READY,<NAME> очікує готовності інших
TID_TEAM_MEMBER_INFO_NOT_READY,Гравець <NAME> ще не готовий до гри
TID_TEAM_MEMBER_INFO_SELF_READY,Не можна змінити бійця в режимі готовності!
TID_TEAM_CHANGE_EVENT_BLOCKED,Не можна змінити подію в режимі готовності!
TID_TEAM_TOGGLE_PRACTISE_BLOCKED,Не можна змінити це в режимі готовності!
TID_TEAM_GATCHA_BLOCKED,Не можна відкрити ящик у режимі готовності!
TID_TEAM_NO_MEMBER_INFO,Запрошувати в команду може тільки її творець
TID_TEAM_INFO_TEAM_CODE,"Поділися цим кодом із друзями та запроси їх у свою команду!\n\nНатисни знову, щоб скопіювати в буфер обміну."
TID_FREEZER,Морозилка
TID_GAME_OVER,Бій закінчений
TID_LEVEL,<LVL>-й рівень
TID_PLAYERS_IN_MM,Деякі гравці беруть участь у підборі супротивників!
TID_ONLINE_INFO,"Гравці в мережі: <ONLINE>, у підборі супротивників: <MATCHMAKE>, у бою: <BATTLES>"
TID_INPUT_NAME,Введи своє ім'я
TID_LEADERBOARD_YOUR_SCORE,Твої очки
TID_LEADERBOARD_YOUR_RANK,Твій ранг
TID_LEADERBOARD_HIGHEST_SCORE,Найкращий результат
TID_LEADERBOARD_LOCAL,МІСЦЕВИЙ (<COUNTRY>)
TID_REGION_0,ГЛОБАЛЬНИЙ
TID_REGION_1,АЗІЯ
TID_SET_REGION_RESULT_0,Регіон змінений. Новий регіон: <REGION>
TID_SET_REGION_RESULT_1,"Не вдалося змінити регіон: це не можна зробити, перебуваючи в клубі."
TID_SET_REGION_RESULT_2,"Не вдалося змінити регіон: це не можна зробити, перебуваючи в команді."
TID_VICTORY_CONDITION_COINRUSH_TITLE,Захоплення кристалів
TID_VICTORY_CONDITION_COINRUSH_TEXT,Захопи й утримай 10 кристалів!
TID_BATTLE_END_MY_TEAM,Твоя команда
TID_BATTLE_END_ENEMY_TEAM,Команда ворога
TID_BACK,НАЗАД
TID_NOT_ENOUGH_GOLD,"Бракує монет. Відкривай ящики, щоб поповнити запас."
TID_UNLOCK_SKIN_ERROR_1,Бракує кристалів
TID_EXPERIENCE_LEVEL,Рівень досвіду
TID_BOT_1,1-й бот
TID_BOT_2,2-й бот
TID_BOT_3,3-й бот
TID_BOT_4,4-й бот
TID_BOT_5,5-й бот
TID_BOT_6,6-й бот
TID_BOT_7,7-й бот
TID_BOT_8,8-й бот
TID_BOT_9,9-й бот
TID_CRAFT_HERO_TITLE,Купити бійця
TID_CRAFT_HERO_BUTTON_LABEL,Купити
TID_UNLOCK_SKIN_TITLE,Купити скін
TID_SKIN_COMING_SOON,Скін ще недоступний
TID_UNLOCK_SKIN_BUTTON_LABEL,Купити
TID_HERO_LIST_TOTAL_TROPHIES,Всього трофеїв
TID_TOP_TOOL_TIP_1,"<c00ccff>Жетони</c> потрібні, щоб відкривати ящики.\n\nЖетони можна отримати в нових подіях і в бою."
TID_TOP_TOOL_TIP_3,"<c0ed12d>Кристали</c> потрібні, щоб купувати ящики, скіни й інші предмети в крамниці.\n\nКристали можна знайти в ящиках і купити в крамниці за реальні гроші."
TID_TOP_TOOL_TIP_2,"<cff8E1b>Монети</c> потрібні, щоб поліпшувати бійців.\n\nМонети можна знайти в ящиках."
TID_TOP_TOOL_TIP_4,<cff0000>Квитки подій</c> потрібні для участі в подіях за квитками.\n\nКвитки подій можна знайти в ящиках.
TID_TOP_TOOL_TIP_5,"<cff00ff>Зоряні очки</c> потрібні, щоб купувати унікальні предмети в крамниці.\n\nЇх можна отримати за підвищення рангу бійця до 10-го та далі через кожні 5 рангів, а також у нагороду в кінці сезону."
TID_GAME_MODE_0,ЗАХОПЛЕННЯ КРИСТАЛІВ
TID_GAME_MODE_0_DESC,"Збирай кристали, що з'являються з кристальної шахти в центрі карти, або відбирай їх у повержених ворогів. Щоб перемогти, утримай десять кристалів до закінчення зворотного відліку."
TID_GAME_MODE_2,ПОГРАБУВАННЯ
TID_GAME_MODE_2_DESC,"Захищай свій сейф, одночасно намагаючись зламати ворожий! Перемагає команда, яка зламала сейф ворога першою.\n\nЯкщо час сплине, переможцем буде оголошена команда, що завдала більше шкоди ворожому сейфу."
TID_GAME_MODE_3,НАГОРОДА ЗА ПІЙМАННЯ
TID_GAME_MODE_3_DESC,"Збирай зірки для своєї команди, перемагаючи учасників ворожої. З кожною перемогою нагорода за твою голову буде збільшуватися на одну зірку, поки не досягне семи зірок. Не дай ворогу відібрати їх!\n\nПісля закінчення часу перемагає команда, що зібрала більше зірок."
TID_GAME_MODE_6,ОДИНОЧНЕ ЗІТКНЕННЯ
TID_GAME_MODE_6_COMBINED,ЗІТКНЕННЯ
TID_GAME_MODE_6_DESC,"Переможи всіх і залишись у живих. Всі засоби хороші, адже в тебе всього одне життя."
TID_GAME_MODE_6_DESC_COMBINED,Переможи всіх і залишись у живих! Грай в одиночному або парному режимі.
TID_GAME_MODE_5,ФУТБОЛЬНА БІЙКА
TID_GAME_MODE_5_DESC,"Забий гол у ворота супротивника! Матч закінчиться після того, як сплине час, або після двох голів, забитих однією з команд."
TID_GAME_MODE_3_OG,ЗАЧИСТКА
TID_GAME_MODE_3_OG_DESC,"Збирай зірки для команди, перемагаючи учасників ворожої. З кожною перемогою нагорода за твою голову буде збільшуватися на одну зірку, поки не досягне семи. Не дай ворогу відібрати їх!\n\nПісля закінчення часу перемагає команда з найбільшою кількістю зірок."
TID_GAME_MODE_11,ОБЛОГА
TID_GAME_MODE_11_DESC,"Обложи та знищ ворожий складальний пристрій ІКЕ! У твоєї команди теж є ІКЕ: постачай його болтами, щоб він міг зібрати потужного облогового робота вам у допомогу. Болти з'являються неподалік від центру карти. Щоб відправити болт ІКЕ, захопи його й утримуй кілька секунд.\n\nЗа бій можна провести до трьох облог. Облоговий робот з'явиться в команди, що зібрала до початку облоги більше болтів, і що їх більше, то сильніший робот.\nБережися, ІКЕ оснащені потужними гарматами — не наближайся до бази ворога без облогового робота!"
TID_BATTLE_END_GAIN_LABEL_FIRST_WIN,Зоряний жетон
TID_BATTLE_END_GAIN_LABEL_RANK_UP,Новий ранг
TID_BATTLE_END_GAIN_LABEL_LEVEL_UP,Новий рівень
TID_BATTLE_END_GAIN_LABEL_VICTORY,Перемога
TID_BATTLE_END_GAIN_LABEL_DEFEAT,Поразка
TID_BATTLE_END_GAIN_LABEL_DRAW,Нічия
TID_BATTLE_END_GAIN_LABEL_MVP,Зоряний гравець
TID_BATTLE_END_GAIN_LABEL_SURVIVAL,Нагорода за місце
TID_BATTLE_END_GAIN_LABEL_COOP_SURVIVAL,За час
TID_BATTLE_END_GAIN_LABEL_COIN_DOUBLER,Ще жетонів:
TID_BATTLE_END_GAIN_LABEL_1VS5_BOSS,За час
TID_BATTLE_END_GAIN_LABEL_1VS5_TEAM,За час
TID_BATTLE_END_COIN_REWARDS,ЖЕТОНИ В НАГОРОДУ
TID_BATTLE_END_MVP,ЗОРЯНИЙ ГРАВЕЦЬ
TID_BATTLE_END_DEFEAT_INFO,Хай щастить наступного разу!
TID_TUTORIAL_1,"Привіт, я Шеллі! Давай-но зберемо ці <ce662f9>КРИСТАЛИ</c>! <c0066ff>ЗАТИСНИ ТА ПОТЯГНИ</c> <c0066ff>СИНІЙ ДЖОЙСТИК</c> великим пальцем лівої руки, щоб почати рух."
TID_TUTORIAL_2,Потрібно зібрати все! Це мої <ce662f9>КРИСТАЛИ</c>!
TID_TUTORIAL_3,Роботи! <ccc0033>ЗАТИСНИ ТА ПОТЯГНИ</c> <ccc0033>ЧЕРВОНИЙ ДЖОЙСТИК</c> великим пальцем правої руки для прицілювання та відпусти для пострілу. Знищ усіх роботів!
TID_TUTORIAL_GOOD_JOB_1,Молодець!
TID_TUTORIAL_5,"Нові цілі! Можна <ccc0033>НАТИСНУТИ</c> на <ccc0033>ЧЕРВОНИЙ ДЖОЙСТИК</c>, щоб атакувати найближчого ворога. Знищ усіх роботів!"
TID_TUTORIAL_6,"А зараз використай Супер, щоб атакувати боса за стіною! <cff9900>ЗАТИСНИ ТА ПОТЯГНИ</c> <cff9900>ЖОВТИЙ ДЖОЙСТИК</c> для прицілювання та відпусти для пострілу!"
TID_TUTORIAL_555,"Відмінно, провадь у тім самім дусі!"
TID_TUTORIAL_7,"Молодець! <ce662f9>КРИСТАЛИ</c> в нас, тепер давай на вихід!"
TID_TUTORIAL_8,"Завдаючи шкоди ворогу, ти заряджаєш свій Супер. Використовуй <cff9900>жовтий джойстик</c> для атаки за допомогою Супера!"
TID_TUTORIAL_9,Ти природжений боєць!\n\nА тепер задай їм усім жару!
TID_TUTORIAL_10,"Коли ти вражаєш цілі, Супер заряджається. Зараз він заряджений повністю!\nТисни на кнопку Супера!"
TID_TUTORIAL_11,"<cff6633>Помаранчеві смужки</c> показують кількість твоїх боєприпасів. Перезаряджатиму так швидко, як зможу!"
TID_FIGHT_TUTORIAL,ГРАТИ
TID_HERO_SCORE_INFO,"Збирай цим бійцем трофеї, перемагаючи в боях проти інших гравців.\n\nЗібравши <PROGRESS> трофеїв, боєць отримає новий ранг і <COINS> жетонів."
TID_HERO_SCORE_INFO_LEG_TROS,"Збирай цим бійцем трофеї, перемагаючи в боях проти інших гравців.\n\nЗібравши <PROGRESS> трофеїв, боєць отримає новий ранг, <COINS> жетонів і <cff00ff><LEGTROS> зоряних очок.</c>"
TID_HERO_SCORE_INFO_MAXED,Найвищий ранг!\n\n
TID_XP_INFO_ME,Рівень твого досвіду.\n\nОтримуй досвід у боях. Очок досвіду до отримання <LEVEL>-го рівня та <COINS> жетонів: <REMPROGRESS>.
TID_XP_INFO_OTHER,Рівень досвіду цього гравця
TID_TUTORIAL_WIN_ONE_GAME_PROMPT,"ЗІГРАЙ ОДИН ТРЕНУВАЛЬНИЙ БІЙ, ЩОБ ВІДКРИТИ ГРУ ПОВНІСТЮ"
TID_SOCIAL_TAB_CLANS,КЛУБ
TID_SOCIAL_TAB_FRIENDS,ДРУЗІ
TID_FRIEND_STATUS_YOU,<EMPTY>
TID_FRIEND_STATUS_OFFLINE,<EMPTY>
TID_FRIEND_STATUS_BATTLE,<cffffff>бій</c> іде <TIME>
TID_FRIEND_STATUS_BATTLE_END_SCREEN,<cffffff>екран закінчення бою</c>
TID_FRIEND_STATUS_SPECTATING,<cffffff>спостерігає</c>
TID_FRIEND_STATUS_PRACTICING,<cffffff>тренується</c>
TID_FRIEND_STATUS_MATCHMAKE,<cffffff>у підборі супротивників
TID_FRIEND_STATUS_HOME_AD_FULL,<cffffff>у команді</c>
TID_FRIEND_STATUS_HOME_WITH_AD,<cffffff>у команді</c>
TID_FRIEND_STATUS_HOME_IN_GAMEROOM,<cffffff>у команді</c>
TID_FRIEND_STATUS_BATTLE_NO_TIME,<cffffff>бій</c>
TID_FRIEND_STATUS_MENUS,меню
TID_FRIEND_STATUS_HOME_NO_GAMEROOM,<EMPTY>
TID_ONLINE_FRIENDS_POPUP_TITLE_INVITE,ГРАЙ У КОМАНДІ!
TID_ONLINE_FRIENDS_POPUP_TITLE,ГРАВЦІ В МЕРЕЖІ
TID_ONLINE_FRIENDS_POPUP_NO_ONLINE_FRIENDS,Друзі чи учасники клубу зараз не в мережі
TID_ONLINE_FRIENDS_POPUP_NO_FRIENDS,"Немає друзів чи учасників клубу, яких можна було б запросити. Хтось відмінно проявив себе в нещодавньому бою? Додай їх у друзі!"
TID_CLAN_CREATE_BUTTON,СТВОРИТИ
TID_CLAN_SAVE_BUTTON,ЗБЕРЕГТИ
TID_CLAN_CREATE_TITLE,СТВОРИТИ НОВИЙ КЛУБ
TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_LESS_THAN_HOUR,У мережі <cf7f7f7><less_than_h_ago></c>
TID_LESS_THAN_H_AGO,менш ніж годину тому
TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_HOURS,У мережі <cf7f7f7><HOURS> г. тому</c>
TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_DAYS,У мережі <cf7f7f7><DAYS> д. тому</c>
TID_CLAN_MEMBER_ONLINE_STATUS_OFFLINE_LONG,У мережі <cf7f7f7>більше міс. тому</c>
TID_CLAN_MEMBER_ONLINE_STATUS_1,<cff1e00>БІЙ</c>
TID_CLAN_MEMBER_ONLINE_STATUS_2,<cffffff>МЕНЮ</c>
TID_CLAN_MEMBER_ONLINE_STATUS_3,<cffffff>МЕНЮ</c>
TID_CLAN_MEMBER_ONLINE_STATUS_4,<cff1e00>ПІДБІР СУПРОТИВНИКІВ</c>
TID_CLAN_MEMBER_ONLINE_STATUS_5,<cffffff>МЕНЮ</c>
TID_CLAN_MEMBER_ONLINE_STATUS_7,<cff1e00>СПОСТЕРЕЖЕННЯ</c>
TID_CLAN_MEMBER_ONLINE_STATUS_8,<cff1e00>ТРЕНУВАННЯ</c>
TID_CLAN_MEMBER_ONLINE_STATUS_9,<cffffff>МЕНЮ</c>
TID_CLAN_MEMBER_ONLINE_STATUS_10,<cffffff>МЕНЮ</c>
TID_CLAN_MEMBER_ONLINE_STATUS_11,<cffffff>МЕНЮ</c>
TID_CLAN_ENTRY_ONLINE_MEMBERS,<COUNT> уч. у мережі
TID_CLAN_ENTRY_ONLINE_MEMBER,<COUNT> уч. у мережі
TID_ALLIANCE_TYPE_OPEN,Відкритий
TID_ALLIANCE_TYPE_INVITE_ONLY,За запрошеннями
TID_ALLIANCE_TYPE_CLOSED,Закритий
TID_CLAN_SEARCH_TITLE,ШУКАТИ КЛУБ
TID_CLAN_INTRO_AD_TITLE,ШУКАЄШ КЛУБ?
TID_CLAN_INTRO_AD_DESC,Грай і спілкуйся з іншими гравцями!
TID_CLAN_INTRO_CREATE_GO,СТВОРИТИ КЛУБ
TID_CLAN_INTRO_SEARCH_GO,ШУКАТИ КЛУБ
TID_CLAN_INTRO_REFRESH,ОНОВИТИ
TID_CLAN_NOT_ENOUGH_SCORE_TO_JOIN,"Кількість трофеїв, необхідних для вступу в цей клуб: <REQ>. Кількість твоїх трофеїв: <SCORE>."
TID_CLAN_CANNOT_JOIN_CLOSED_CLAN,Це закритий клуб
TID_STREAM_ENTRY_AGE,<time> тому
TID_ALLIANCE_ROLE_LEADER,Президент
TID_ALLIANCE_ROLE_CO_LEADER,Віцепрезидент
TID_ALLIANCE_ROLE_MEMBER,Учасник
TID_ALLIANCE_ROLE_ELDER,Ветеран
TID_STREAM_SENDER_YOU,Ти
TID_GOLDRUSH_1,Рокова шахта
TID_BANKHEIST_1,Сховок бандитів
TID_WANTED_1,Руїни храму
TID_BATTLE_ROYALE_1,Озеро мерців
TID_GOLDRUSH_2,Кришталевий грот
TID_BANKHEIST_2,Пороховий каньйон
TID_WANTED_2,Табір бандитів
TID_BATTLE_ROYALE_2,Обпалений камінь
TID_GOLDRUSH_3,Печера поганок
TID_BANKHEIST_3,Надійне укриття
TID_WANTED_3,Кам'яний форт
TID_BATTLE_ROYALE_3,Бійка в Рокуоллі
TID_WANTED_4,Пастка з поганок
TID_GOLDRUSH_4,Кам'яний форт
TID_WANTED_5,Кристальна виробка
TID_GOLDRUSH_5,Підрив
TID_WANTED_6,Зміїні степи
TID_WANTED_7,Падуча зірка
TID_GOLDRUSH_6,Облога
TID_GOLDRUSH_7,Студена печера
TID_BATTLE_ROYALE_4,Все або нічого
TID_WANTED_8,Укриття
TID_BANKHEIST_4,Дикий Захід
TID_CLAN_MEMBERS_ONLINE,Учасників у мережі: <COUNT>/<TOTAL>
TID_CLAN_TOTAL_TROPHIES,Трофеї клубу
TID_CLAN_SEARCH_OK,ШУКАТИ
TID_CLAN_INFO_NAME,НАЗВА КЛУБУ
TID_CLAN_INFO_BADGE,ЗНАЧОК
TID_CLAN_INFO_DESC,ОПИС
TID_CLAN_INFO_TOTAL_TROPHIES,ТРОФЕЇ КЛУБУ
TID_CLAN_INFO_TYPE,ТИП
TID_CLAN_INFO_TAG,Тег клубу
TID_CLAN_INFO_MIN_TROPHIES,НЕОБХІДНІ ТРОФЕЇ
TID_CLAN_INFO_LEAVE,ВИЙТИ
TID_CLAN_INFO_SETTINGS,НАЛАШТУВАННЯ
TID_CLAN_INFO_JOIN,ВСТУПИТИ
TID_CLAN_INFO_MESSAGE,Повідомлення
TID_CLAN_INFO_REQUEST_JOIN,Попросити прийняти
TID_CLAN_SEARCH_NO_RESULTS,Клуб не знайдений
TID_CLAN_SEARCH_INITIAL,Пустий рядок пошуку
TID_CLAN_INFO_MEMBERS,Учасники:
TID_CLAN_INFO_SELECT_BADGE,ВИБРАТИ
TID_SELECT_BADGE,ВИБЕРИ ЗНАЧОК
TID_ALLIANCE_CREATE_OK,Клуб успішно створений
TID_CLAN_CHANGE_SETTINGS_TITLE,НАЛАШТУВАННЯ КЛУБУ
TID_TITLE_ALLIANCE,Інформація про клуб
TID_ALLIANCE_LEFT,Ти покидаєш клуб
TID_CLAN_MEMBER_DEMOTE,Понизити
TID_CLAN_MEMBER_PROMOTE,Підвищити
TID_CLAN_MEMBER_KICK,Вигнати
TID_CLAN_MEMBER_VIEW_ALLIANCE,Подивитися клуб
TID_BUTTON_INVITE,ЗАПРОСИТИ
TID_PLAYER_INFO_GOTO_CLAN,Подивитися клуб
TID_PLAYER_INFO_HEROES,Бійці (<FOUND>/<TOTAL>)
TID_SELECT_PLAYER_THUMBNAIL,ВИБРАТИ ІКОНКУ
TID_SELECT_PLAYER_THUMBNAIL_FAIL_2,Ця іконка відкриється після досягнення <LEVEL>-го рівня досвіду
TID_SELECT_PLAYER_THUMBNAIL_FAIL_3,"Щоб розблокувати іконку, необхідно <TROPHIES> трофеїв"
TID_PLAYER_INFO_WINS_AMOUNT,Перемоги: <AMOUNT>
TID_PLAYER_INFO_STATS_HEADER,ПОКАЗНИКИ
TID_PLAYER_STAT_1,ПЕРЕМОГ 3 НА 3
TID_PLAYER_STAT_4,МАКСИМУМ ТРОФЕЇВ
TID_PLAYER_STAT_12,ПРОЙДЕНИЙ РІВЕНЬ БОЮ З БОСОМ
TID_PLAYER_STAT_13,МАКСИМУМ ОЧОК У СИЛОВІЙ ГОНЦІ
TID_PLAYER_STAT_14,НАЙКРАЩЕ МІСЦЕ В СИЛОВІЙ ГОНЦІ
TID_PLAYER_STAT_8,ОДИНОЧНИХ ПЕРЕМОГ
TID_PLAYER_STAT_10,НАЙКРАЩИЙ ЧАС МЕГАБІЙЦЯ
TID_PLAYER_STAT_9,НАЙКРАЩИЙ ЧАС У РОБОРУБЦІ
TID_PLAYER_STAT_11,ПАРНИХ ПЕРЕМОГ
TID_NO_CLAN,Не в клубі
TID_ULTIMATE_NOT_READY,"Завдавай шкоди ворогам, щоб зарядити Супер!"
TID_CANT_ACTIVATE_ULTI,Полеглий боєць не може активувати Супер!
TID_NAME_TOO_SHORT,Це ім'я надто коротке
TID_ALLIANCE_JOINED,Ти тепер у клубі
TID_COIN_RUSH_INTRO_TEXT,Для перемоги потрібно зібрати 10 кристалів.
TID_BOUNTY_HUNTER_INTRO_TEXT,"Перемагай бійців, щоб отримати зірки"
TID_ATTACK_DEFEND_INTRO_TEXT_ATTACK,Зламай ворожий сейф
TID_ATTACK_DEFEND_INTRO_TEXT_DEFEND,Зламай ворожий сейф
TID_GO,У БІЙ!
TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE,ПІДТВЕРДИТИ ВИХІД
TID_ALLIANCE_LEAVE_CONFIRMATION,\n\nТочно хочеш вийти з клубу?
TID_ALLIANCE_LEAVE_CONFIRMATION_LEAVE,ВИЙТИ
TID_ALLIANCE_PROMOTE_TITLE,Підтвердити підвищення
TID_ALLIANCE_PROMOTE_CONFIRMATION,Точно хочеш підвищити гравця <NAME> до звання «<ROLE>»?
TID_ALLIANCE_PROMOTE_BUTTON,Підвищити
TID_ALLIANCE_KICK_TITLE,Підтвердити вигнання
TID_ALLIANCE_KICK_CONFIRMATION,Точно хочеш виключити з клубу гравця <NAME>?
TID_ALLIANCE_KICK_BUTTON,Вигнати
TID_ALLIANCE_DEMOTE_TITLE,Підтвердити пониження
TID_ALLIANCE_DEMOTE_CONFIRMATION,Точно хочеш понизити гравця <NAME> до звання «<ROLE>»?
TID_ALLIANCE_DEMOTE_BUTTON,Понизити
TID_CLAN_RESPONSE_10,Налаштування збережені
TID_CLAN_RESPONSE_20,Клуб створений
TID_CLAN_RESPONSE_21,Не вдалося створити клуб. Спробуй пізніше.
TID_CLAN_RESPONSE_22,Така назва неприпустима!
TID_CLAN_RESPONSE_23,Такий опис неприпустимий!
TID_CLAN_RESPONSE_24,Назва надто коротка!
TID_CLAN_RESPONSE_40,Ти тепер у клубі
TID_CLAN_RESPONSE_42,Вступити не вдалося: у клубі немає місця.
TID_CLAN_RESPONSE_43,Вступити не вдалося: це не відкритий клуб.
TID_CLAN_RESPONSE_45,"Вступити не вдалося: щоб вступити в цей клуб, потрібно більше трофеїв."
TID_CLAN_RESPONSE_46,Вступити не вдалося: можливість вступу в цей клуб заблокована через раніше відхилений запит чи виключення.
TID_CLAN_RESPONSE_47,Вступити не вдалося: перевищено ліміт на сьогодні. Можливість вступу в клуб заблокована до завтра.
TID_CLAN_RESPONSE_48,Вступити не вдалося: не можна вступити в клуб в іншому регіоні.
TID_CLAN_RESPONSE_50,Запит на вступ успішно відправлено.
TID_CLAN_RESPONSE_51,Запит на вступ не було відправлено: клуб більше не приймає запити.
TID_CLAN_RESPONSE_52,Запит на вступ не було відправлено: попередній запит у цей клуб ще не розглянуто.
